"day","Mean_Temp","lvsg","rootsg","stemg","lvsd","rootd","stemd","AGB","TOTB"
121,10.25,0.305129149304622,0.183077489582773,0.122051659721849,0,0,0,0.42718080902647,0.610258298609243
122,10.44,0.337136760563099,0.202282056337859,0.134854704225239,0,0,0,0.471991464788338,0.674273521126197
123,10.61,0.372547985079146,0.223528791047488,0.149019194031658,0,0,0,0.521567179110805,0.745095970158292
124,10.78,0.411694954654697,0.247016972792818,0.164677981861879,0,0,0,0.576372936516576,0.823389909309394
125,10.97,0.455000600291566,0.27300036017494,0.182000240116626,0,0,0,0.637000840408193,0.910001200583132
126,11.14,0.502871796193505,0.301723077716103,0.201148718477402,0,0,0,0.704020514670907,1.00574359238701
127,11.28,0.555832974989746,0.333499784993848,0.222333189995898,0,0,0,0.778166164985645,1.11166594997949
128,11.47,0.61436479531301,0.368618877187806,0.245745918125204,0,0,0,0.860110713438215,1.22872959062602
129,11.64,0.679047485023144,0.407428491013887,0.271618994009258,0,0,0,0.950666479032402,1.35809497004629
130,11.81,0.750570002287371,0.450342001372423,0.300228000914949,0,0,0,1.05079800320232,1.50114000457474
131,11.97,0.829582926386316,0.49774975583179,0.331833170554527,0,0,0,1.16141609694084,1.65916585277263
132,12.17,0.916830852154073,0.550098511292444,0.366732340861629,0,0,0,1.2835631930157,1.83366170430815
133,12.33,1.0132287913061,0.607937274783661,0.405291516522441,0,0,0,1.41852030782854,2.0264575826122
134,12.47,1.11962375065933,0.6717742503956,0.447849500263733,0,0,0,1.56747325092307,2.23924750131867
135,12.64,1.23697783990387,0.742186703942324,0.494791135961549,0,0,0,1.73176897586542,2.47395567980775
136,12.81,1.36633859080544,0.819803154483262,0.546535436322175,0,0,0,1.91287402712761,2.73267718161088
137,13,1.50881343571343,0.905288061428059,0.603525374285372,0,0,0,2.1123388099988,3.01762687142686
138,13.17,1.6656002354423,0.99936014126538,0.66624009417692,0,0,0,2.33184032961922,3.3312004708846
139,13.33,1.8379522948594,1.10277137691564,0.735180917943761,0,0,0,2.57313321280316,3.67590458971881
140,13.47,2.02717682543401,1.2163060952604,0.810870730173603,0,0,0,2.83804755560761,4.05435365086802
141,13.64,2.23455561739486,1.34073337043691,0.893822246957942,0,0,0,3.1283778643528,4.46911123478971
142,13.81,2.461370076496,1.4768220458976,0.984548030598398,0,0,0,3.44591810709439,4.92274015299199
143,13.97,2.70883751193314,1.62530250715988,1.08353500477325,0,0,0,3.79237251670639,5.41767502386627
144,14.14,2.9780014008966,1.78680084053796,1.19120056035864,0,0,0,4.16920196125525,5.95600280179321
145,14.33,3.26940334139891,1.96164200483934,1.30776133655956,0,0,0,4.57716467795847,6.53880668279781
146,14.47,3.58373225352059,2.15023935211235,1.43349290140824,0,0,0,5.01722515492883,7.16746450704118
147,14.64,3.92082593361755,2.35249556017053,1.56833037344702,0,0,0,5.48915630706457,7.8416518672351
148,14.81,4.27956052987218,2.56773631792331,1.71182421194887,0,0,0,5.99138474182105,8.55912105974436
149,14.97,4.65846421789966,2.79507853073979,1.86338568715986,0,0,0,6.52184990505952,9.31692843579931
150,15.17,5.05432190133437,3.03259314080062,2.02172876053375,0,0,0,7.07605066186812,10.1086438026687
151,15.33,5.46501326896745,3.27900796138047,2.18600530758698,0,0,0,7.65101857655443,10.9300265379349
152,15.5,5.88404926740021,3.53042956044013,2.35361970696009,0,0,0,8.2376689743603,11.7680985348004
153,15.67,6.30552272672259,3.78331363603355,2.52220909068904,0,0,0,8.82773181741162,12.6110454534452
154,15.86,6.72335127634802,4.03401076580881,2.68934051053921,0,0,0,9.41269178688723,13.446702552696
155,16.03,7.13100540399925,4.27860324239955,2.8524021615997,0,0,0,9.98340756559895,14.2620108079985
156,16.22,7.52283880844979,4.51370328506988,3.00913552337992,0,0,0,10.5319743318297,15.0456776168996
157,16.39,7.89452462252516,4.7367147735151,3.15780984901006,0,0,0,11.0523344715352,15.7890492450503
158,16.58,8.2429602753572,4.94577616521432,3.29718411014288,0,0,0,11.5401443855001,16.4859205507144
159,16.75,8.56663684708965,5.13998210825379,3.42665473883586,0,0,0,11.9932915859255,17.1332736941793
160,16.92,8.8651625963446,5.31909755780676,3.54606503853784,0,0,0,12.4112276348824,17.7303251926892
161,17.14,9.13879171766402,5.48327503059841,3.65551668706561,0,0,0,12.7943084047296,18.277583435328
162,17.31,9.38872524157956,5.63323514494774,3.75549009663182,0,0,0,13.1442153382114,18.7774504831591
163,17.47,9.61681036703217,5.7700862202193,3.84672414681287,0,0,0,13.463534513845,19.2336207340643
164,17.67,9.62251750468116,5.7735105028087,3.84900700187246,0.201953017707676,0.121171810624605,0.0807812070830702,13.7542587313444,19.6489410447777
165,17.86,9.62842411192124,5.77705446715274,3.85136964476849,0.40402588530598,0.242415531183588,0.161610354122392,14.0454299961181,20.0648999944544
166,18.03,9.63481222618253,5.78088733570951,3.85392489047301,0.606222791656326,0.363733674993795,0.24248911666253,14.3374490249744,20.4820700356777
167,18.22,9.64125827137112,5.78475496282267,3.85650330854845,0.808553848406159,0.485132309043695,0.323421539362463,14.6297369676882,20.8996242395546
